Teams,Value,Wins Last Year,Loses Last Year,Win % Last Year,Wins This Year,Loses This Year,Win % This Year
Milwaukee,"$205,243,383 ",48,34,0.585,32,50,0.390
Dallas,"$138,354,796 ",39,43,0.476,26,56,0.317
Houston,"$133,193,021 ",52,30,0.634,52,30,0.634
Chicago,"$129,459,791 ",39,43,0.476,31,51,0.378
Memphis,"$93,018,133 ",48,34,0.585,25,57,0.305
Detroit,"$90,705,090 ",44,38,0.537,60,22,0.732
Atlanta,"$78,568,247 ",40,42,0.488,46,36,0.561
Golden State,"$71,924,877 ",48,34,0.585,37,45,0.451
San Antonio,"$54,427,789 ",34,48,0.415,62,20,0.756
Sacramento,"$51,695,906 ",40,42,0.488,22,60,0.268
